位移_mm,力_kN,应变,应力_MPa,材料
0.0,-0.2876118158837,0.0,-3.6619904683131788,45钢
0.016032064128256515,5.202484476713077,0.0003206412825651303,66.24014561687652,45钢
0.03206412825651303,11.400509140077064,0.0006412825651302606,145.15591328056257,45钢
0.04809619238476954,15.50881447864422,0.0009619238476953908,197.46452565286012,45钢
0.06412825651302606,21.96978554148856,0.0012825651302605212,279.7282336840716,45钢
0.08016032064128258,26.412089109008935,0.0016032064128256515,336.2894471781351,45钢
0.09619238476953908,29.706079094445297,0.0019238476953907816,378.2298656978829,45钢
0.1122244488977956,29.189824780381375,0.002244488977955912,371.65670606770937,45钢
0.12825651302605212,30.21546709560414,0.0025651302605210423,384.71560064303924,45钢
0.14428857715430862,30.49216510859366,0.0028857715430861725,388.23863213969565,45钢
0.16032064128256515,30.12885381821742,0.003206412825651303,383.6128052128689,45钢
0.17635270541082165,30.987656079745307,0.003527054108216433,394.5474244537996,45钢
0.19238476953907815,31.63016369456487,0.0038476953907815633,402.7280923935316,45钢
0.20841683366733468,31.103756041310394,0.004168336673346693,396.02565632447767,45钢
0.2244488977955912,31.077442133524166,0.004488977955911824,395.6906169617826,45钢
0.2404809619238477,31.20997130618495,0.0048096192384769546,397.3780322217088,45钢
0.25651302605210424,32.486758366285095,0.005130260521042085,413.6346037043038,45钢
0.2725450901803607,31.18117662225805,0.005450901803607215,397.0114066094946,45钢
0.28857715430861725,31.541815947912447,0.005771543086172345,401.60321299612554,45钢
0.3046092184368738,31.242871903091313,0.006092184368737476,397.79693598580735,45钢
0.3206412825651303,31.265365374358574,0.006412825651302606,398.08333199887414,45钢
0.33667334669338683,31.74350355025344,0.006733466933867736,404.1711814750294,45钢
0.3527054108216433,31.992960168952983,0.007054108216432866,407.34736447407823,45钢
0.36873747494989983,31.950281591108737,0.0073747494989979965,406.8039634848435,45钢
0.3847695390781563,33.15466088497163,0.007695390781563127,422.1386098755297,45钢
0.4008016032064129,32.617413860244696,0.008016032064128258,415.29816252591456,45钢
0.41683366733466937,31.80127041623739,0.008336673346693387,404.9066926777509,45钢
0.4328657314629259,33.2238801541654,0.008657314629258518,423.0199377279073,45钢
0.4488977955911824,33.16207754400984,0.008977955911823649,422.2330417910655,45钢
0.4649298597194389,31.445454850531046,0.009298597194388778,400.37630436219933,45钢
0.4809619238476954,33.21778454921822,0.009619238476953909,422.94232600967314,45钢
0.4969939879759519,32.39803311145637,0.009939879759519038,412.5049177194526,45钢
0.5130260521042085,34.39642186867635,0.01026052104208417,437.9492151257974,45钢
0.529058116232465,34.333588341659336,0.0105811623246493,437.14919313671527,45钢
0.5450901803607214,34.09275230898728,0.01090180360721443,434.0827709406674,45钢
0.5611222444889781,33.59938639665314,0.01122244488977956,427.8010357386309,45钢
0.5771543086172345,34.28623817663676,0.01154308617234469,436.5463116019182,45钢
0.593186372745491,34.53465028497507,0.011863727454909821,439.7091954707657,45钢
0.6092184368737475,32.849909384159716,0.012184368737474952,418.25838997653693,45钢
0.6252505010020041,33.942738077894454,0.012505010020040081,432.1727288143196,45钢
0.6412825651302606,33.950765119383455,0.012825651302605212,432.2749323671575,45钢
0.657314629258517,33.114698537124646,0.013146292585170341,421.6297930299581,45钢
0.6733466933867737,35.2643396817772,0.013466933867735472,448.99989727211,45钢
0.6893787575150302,33.97147858063576,0.013787575150300603,432.5386645696703,45钢
0.7054108216432866,35.25243720040185,0.014108216432865733,448.84835004442783,45钢
0.7214428857715431,34.40789871731358,0.014428857715430864,438.09534302456495,45钢
0.7374749498997997,34.45475163249794,0.014749498997995993,438.69189337243796,45钢
0.7535070140280562,34.67241572373654,0.015070140280561124,441.46328099766737,45钢
0.7695390781563126,35.19023596325349,0.015390781563126253,448.05637862679083,45钢
0.7855711422845693,34.92513973383123,0.015711422845691384,444.6810657511799,45钢
0.8016032064128258,34.501375195673276,0.016032064128256515,439.2855235173689,45钢
0.8176352705410823,35.014103455706234,0.016352705410821646,445.81378799533024,45钢
0.8336673346693387,35.00884033459478,0.016673346693386774,445.7467757994491,45钢
0.8496993987975953,34.05110215109423,0.016993987975951905,433.5524642119975,45钢
0.8657314629258518,34.85222429602498,0.017314629258517036,443.7526767786373,45钢
0.8817635270541083,36.05263705422567,0.017635270541082167,459.03681962605776,45钢
0.8977955911823648,35.12972529960434,0.017955911823647298,447.28593227765987,45钢
0.9138276553106213,36.16679377167317,0.018276553106212425,460.49030932328117,45钢
0.9298597194388778,34.65165109040425,0.018597194388777556,441.19889725144594,45钢
0.9458917835671343,35.357892771179344,0.018917835671342687,450.1910532078259,45钢
0.9619238476953909,35.507603097247895,0.019238476953907818,452.09722589195775,45钢
0.9779559118236475,36.74274687357173,0.01955911823647295,467.82357816992965,45钢
0.9939879759519038,36.72545521145801,0.019879759519038077,467.6034137039909,45钢
1.0100200400801604,35.99973146385352,0.020200400801603208,458.36320415908534,45钢
1.026052104208417,35.660146848083805,0.02052104208416834,454.0394748911705,45钢
1.0420841683366735,36.661745467442465,0.02084168336673347,466.7922353641623,45钢
1.05811623246493,36.71817730849846,0.0211623246492986,467.5107484872114,45钢
1.0741482965931863,37.529186321298354,0.021482965931863728,477.8368446716262,45钢
1.0901803607214429,36.95806849744978,0.02180360721442886,470.56514054920956,45钢
1.1062124248496996,35.936137988443626,0.02212424849699399,457.5535061983725,45钢
1.1222444889779561,36.35113089276914,0.02244488977955912,462.83736442717407,45钢
1.1382765531062127,35.960239529380885,0.022765531062124252,457.86037680767873,45钢
1.154308617234469,35.9762121130642,0.02308617234468938,458.06374623122935,45钢
1.1703406813627255,37.313905037794086,0.02340681362725451,475.0957959223716,45钢
1.186372745490982,35.764019261315035,0.023727454909819642,455.3620206496078,45钢
1.2024048096192386,37.48078395110938,0.024048096192384773,477.2205660332428,45钢
1.218436873747495,35.87595041823994,0.024368737474949904,456.78717360623045,45钢
1.2344689378757516,36.244719193064846,0.02468937875751503,461.4824874418985,45钢
1.2505010020040082,37.12036105076876,0.025010020040080162,472.6315152616192,45钢
1.2665330661322647,37.84950023071716,0.025330661322645293,481.9152114784827,45钢
1.2825651302605212,36.12381283252434,0.025651302605210424,459.9430585470967,45钢
1.2985971943887777,36.95424752881777,0.025971943887775555,470.5164904245018,45钢
1.314629258517034,38.931078272545754,0.026292585170340683,495.6863024461595,45钢
1.3306613226452906,36.34623254824369,0.026613226452905814,462.77499671495895,45钢
1.3466933867735473,37.038491988580354,0.026933867735470945,471.5891251064633,45钢
1.3627254509018039,38.17665046624757,0.027254509018036076,486.0806211663211,45钢
1.3787575150300604,38.401799192008816,0.027575150300601207,488.94730619856597,45钢
1.3947895791583167,38.026752777182196,0.027895791583166334,484.17206290040644,45钢
1.4108216432865732,38.18055439004014,0.028216432865731465,486.1303275098297,45钢
1.4268537074148298,37.65269482077545,0.028537074148296596,479.40940505636263,45钢
1.4428857715430863,39.16729812632612,0.028857715430861727,498.6939495774576,45钢
1.4589178356713428,39.56433739633061,0.02917835671342686,503.74921484128237,45钢
1.4749498997995993,37.44892093171671,0.029498997995991986,476.8148731275145,45钢
1.4909819639278559,38.34424889081673,0.029819639278557117,488.21455238674343,45钢
1.5070140280561124,38.49737347153501,0.030140280561122248,490.1641967479527,45钢
1.523046092184369,38.79494932028612,0.03046092184368738,493.95305333014323,45钢
1.5390781563126252,37.91637468223537,0.030781563126252506,482.76668415974547,45钢
1.5551102204408818,38.11833813500699,0.031102204408817637,485.33816487838305,45钢
1.5711422845691385,37.05588699577116,0.03142284569138277,471.8106054039026,45钢
1.5871743486973948,37.94304753537292,0.031743486973947896,483.1062937604579,45钢
1.6032064128256516,37.55589482040087,0.03206412825651303,478.17690813124403,45钢
1.6192384769539079,39.0151923520158,0.03238476953907816,496.7572770732757,45钢
1.6352705410821646,38.81514253317925,0.03270541082164329,494.2101615192211,45钢
1.651302605210421,39.109175878123914,0.03302605210420842,497.9539135039762,45钢
1.6673346693386775,39.908438462609915,0.03334669338677355,508.1304493916764,45钢
